"","term","group","contrast","estimate","std.error","statistic","p.value","s.value","conf.low","conf.high","predicted_lo","predicted_hi","predicted"
"1","lossavers","1","mean(dY/dX)",-0.0534258283627328,0.0677937613198371,-0.788064083222653,0.430659222640494,1.21538136773063,-0.186299158926118,0.0794475022006525,0.130079260299576,0.130073463790814,0.130076362059213
"2","riskaverse","1","mean(dY/dX)",0.0256102004033908,0.0740138069079272,0.346019229023711,0.729328263672556,0.455359790926906,-0.119454195494848,0.17067459630163,0.130075345550622,0.130077378563649,0.130076362059213
"3","trust","1","mean(dY/dX)",0.0111551603346099,0.00263983266242901,4.2257073690215,2.38191361468314e-05,15.3575193827831,0.00598118339103658,0.0163291372781833,0.130067788903252,0.130084935644054,0.130076362059213
"4","lossavers","2","mean(dY/dX)",-0.207907132304069,0.0971650551678161,-2.13973153151601,0.0323764692872616,4.94891052406906,-0.398347140988836,-0.0174671236193018,0.359184774708976,0.359163974179389,0.35917437442147
"5","riskaverse","2","mean(dY/dX)",0.104172847898647,0.106683695062724,0.976464565062162,0.328834299543868,1.60456730559704,-0.104923352161945,0.313269047959239,0.359170588363987,0.359178160485455,0.35917437442147
"6","trust","2","mean(dY/dX)",0.00614573234406388,0.00387627425055397,1.58547407815264,0.112858661940616,3.14741094477408,-0.0014516255812219,0.0137430902693497,0.359168758962476,0.359179989592189,0.35917437442147
"7","lossavers","4","mean(dY/dX)",0.261332960666953,0.100925459696474,2.5893660673223,0.00961528183022067,6.70045514013874,0.0635226945387161,0.45914322679519,0.510735964991448,0.510762562029797,0.510749263519317
"8","riskaverse","4","mean(dY/dX)",-0.129783048302315,0.109638025656006,-1.18374120224963,0.236515523662504,2.07999321713276,-0.344669629924165,0.085103533319534,0.51075406608539,0.510744460950896,0.510749263519317
"9","trust","4","mean(dY/dX)",-0.0173008926786643,0.00400226706246152,-4.32277317046998,1.54080125738774e-05,15.9859596888152,-0.0251451919775998,-0.00945659337972885,0.510763452134272,0.510735074763757,0.510749263519317
